type,title,cast,release_year,listed_in,Plataforma,seasson_quantity,movie_duration
TV Show,Would I Lie to You?,"David Mitchell, Lee Mack, Rob Brydon",2009,"Comedy, Special Interest, Unscripted",amazon,0,0
TV Show,Wotakoi: Love is Hard for Otaku,"Arisa Date, Kent Ito, Miyuki Sawashiro, Tomokazu Sugita, Yuki Kaji",2018,TV Shows,amazon,0,0
TV Show,World’s Toughest Race: Eco-Challenge Fiji,Bear Grylls,2020,Unscripted,amazon,0,0
TV Show,World War II: When Lions Roared,"Michael Caine, John Lithgow, Bob Hoskins",1994,Drama,amazon,0,0
Movie,World War II: Saving the Reality,Dan Aykroyd,2012,Documentary,amazon,0,56
TV Show,World War 2 - The Call of Duty: A Complete Timeline,Liam Dale,2020,"Documentary, Military and War",amazon,0,0
Movie,World Inferno Friendship Society,Sin dato,2007,Music Videos and Concerts,amazon,0,40
TV Show,World Food Championships,Tiffany Derry,2014,TV Shows,amazon,0,0
TV Show,WordWorld,Sin dato,2007,Kids,amazon,0,0
Movie,Words On Bathroom Walls,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb, Beth Grant, Devin Bostick, Lobo Sebastian, Molly Parker, Walton Goggins",2020,Drama,amazon,0,111
TV Show,WordGirl,Sin dato,2010,Kids,amazon,0,0
TV Show,Wonders of Mexico,Anthony Mendez,2018,"Documentary, Special Interest",amazon,0,0
Movie,Wonderful Nursery Rhymes with Mia - Little Baby Bum,Sin dato,2019,Kids,amazon,0,33
Movie,Wonderful Nursery Rhymes with Jacus - By Little Baby Bum,Sin dato,2019,Kids,amazon,0,34
TV Show,Wonder Balls,Sin dato,2015,"Animation, Kids",amazon,0,0
Movie,Women of Valor,"Susan Sarandon, Kristy McNichol, Terry O'Quinn",1986,"Action, Drama",amazon,0,95
Movie,Woman Of Desire,"Jeff Fahey, Bo Derek",1994,"Drama, Suspense",amazon,0,99
Movie,Woke Up Like This,"Vhong Navarro, Lovi Poe",2017,Comedy,amazon,0,104
Movie,"Wizard of Loneliness, The","Lukas Haas, Lea Thompson",1988,Drama,amazon,0,111
Movie,Within Our Gates,"Evelyn Preer, Flo Clements",1920,Drama,amazon,0,78
TV Show,Wishenpoof,"Addison Holley, Hope Cassandra, Scott McCord, Katie Griffin, Ethan Tavares, Devan Cohen, Roanna Cochrane, Millie Davis, Jason Priestley, Saara Chaudry, Kyle Lomas, Ava Priestley, Johnny Orlando, Kathy Laskey, Matthew MacFadzean, TJ McGibbon, Elizabeth Hanna, Caissie Levy, Ava Close, Nissae Isen, Jeff Geddis, Kristin Fairlie",2019,Kids,amazon,4,0
TV Show,Wisconsin Unexplained,Michael Butt,2018,TV Shows,amazon,0,0
TV Show,Wipeout Canada,"Ennis Esmer, Jonathan Torrens, Jessica Phillips",2011,"Comedy, Documentary, Unscripted",amazon,0,0
TV Show,Wipeout Australia,"James Brayshaw, Josh Lawson, Kelly Landry",2009,"Comedy, Documentary, Unscripted",amazon,0,0
Movie,Winterset,"Burgess Meredith, Eduordo Ciannelli",1936,"Action, Drama",amazon,0,77
Movie,Winds Of The Wasteland,"John Wayne, Phyllis Fraser, Lew Kelly, Douglas Cosgrove, Lane Chandler, Sam Flint, Bob Kortman, Ed Cassidy, Jon Hall, Merrill McCormick, Christian J. Frank, Jack Rockwell, Arthur Millett, Tracy Layne, Yakima Canutt, Horace B. Carpenter, Herman Hack, Henry Hall, Lloyd Ingraham, Jack Ingram, Cliff Lyons, Murdock MacQuarrie, Clyde McClary, Bud McClure, Art Mix, George Morrell, Bud Pope, Francis Walker, Joe Yrigoyen",1936,Western,amazon,0,55
